danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,id,mood,motivation,release_decade
0.735,0.327,-7.844,0.0487,0.915,6.98e-05,0.661,99.907,4ow2oAfYPMqLpY0RRUmBKL,1.0,0.0,2020s
0.299,0.399,-12.176,0.0376,0.816,0.00117,0.302,158.253,7qcXUzPwoxSBFxjTbNrV0B,0.0,0.0,2010s
0.329,0.277,-13.111,0.0302,0.971,0.024,0.121,159.719,4k7x3QKrc3h3U0Viqk0uop,0.0,0.0,2000s
0.406,0.399,-10.449,0.0278,0.756,0.678,0.163,142.83,3p4hRhMcb6ch8OLtATMaLw,0.0,0.0,2010s
0.697,0.336,-10.395,0.0424,0.598,0.00528,0.31,82.029,2TktkzfozZifbQhXjT6I33,0.0,0.0,2020s
0.504,0.308,-14.958,0.0321,0.868,0.135,0.121,113.95,3vkCueOmm7xQDoJ17W1Pm3,0.0,0.0,2020s
0.286,0.0847,-9.883,0.0397,0.934,6.94e-06,0.112,70.743,7sq2z9oX2S0CvgTqCZ0ko4,0.0,0.0,2020s
0.42,0.33,-13.925,0.0275,0.245,0.000679,0.175,157.143,1LzNfuep1bnAUR9skqdHCK,0.0,0.0,1990s
0.39,0.252,-9.666,0.0298,0.808,0.0,0.181,122.053,3WD91HQDBIavSapet3ZpjG,0.0,0.0,2010s
0.218,0.263,-14.416,0.0376,0.947,0.00028,0.307,170.724,3rJDsZjIaCfJQSqRUvl0BM,0.0,0.0,2010s
0.24,0.116,-13.216,0.0329,0.877,0.00092,0.0937,77.349,41cpvQ2GyGb2BRdIRSsTqK,0.0,0.0,2010s
0.402,0.129,-12.454,0.0417,0.978,3.27e-05,0.16,108.915,2NUIlCRqz6OxgGOipYqBCw,0.0,0.0,2020s
0.452,0.104,-22.394,0.0456,0.973,0.295,0.158,120.292,1LjVNoqN5YsWf9vGu2JzhF,0.0,0.0,2020s
0.285,0.311,-10.012,0.032,0.768,0.00183,0.0772,117.813,39Odj4vLKRarATkCA31gaW,0.0,0.0,2000s
